TransactionID,Time,Amount,CardholderName,MerchantName,MCC,Location,Device,IPAddress,TransactionSpeed,Fraud
1,2025-03-09 06:23:57,83.54,Sarah Murray,Oconnor-Hughes,5411,Longtown,Android,102.247.49.50,38.17,0
2,2025-02-14 05:17:36,805.88,Alexander Brooks,Reed PLC,5261,Woodsland,POS,153.157.50.7,49.84,0
3,2024-05-03 15:28:52,450.49,Harold Perez,Berry LLC,5261,Jessicatown,iOS,151.174.154.123,48.79,0
4,2024-05-03 09:01:14,782.39,Rebecca Davis,Berg Inc,5968,North Krystalburgh,Android,130.70.79.149,8.71,0
5,2025-04-24 17:24:39,713.02,Lauren Benson DDS,King-Gaines,5968,East Danielletown,Android,195.136.16.190,17.16,0
6,2025-03-01 01:48:29,305.35,Alexis Mendez,Fisher Ltd,5411,South Jennifer,POS,123.207.86.252,55.36,0
7,2025-02-23 08:24:21,256.63,Sean Manning,Levy Group,5968,West Andrew,Web,21.99.204.254,51.43,0
8,2024-10-18 02:24:01,312.03,Stephen Mendoza,"Clements, Matthews and Stokes",5968,Weavermouth,Web,103.39.186.249,57.95,0
9,2024-10-05 06:56:37,1381.9,Trevor Stewart,Barrett-Hunter,5968,Houstonchester,Android,201.1.87.11,119.08,1
10,2024-10-23 01:18:23,885.49,Jason Baldwin MD,Camacho-Franklin,5812,Lake Coreyton,POS,153.131.2.39,1.83,0
11,2025-02-15 01:07:53,897.68,Abigail Henry,Sanders LLC,5261,Port Meganborough,Android,125.104.247.88,28.78,0
12,2025-01-30 04:55:21,910.15,Kara Sosa,"Riddle, Shelton and Wells",5968,Underwoodmouth,Web,32.100.97.32,54.11,0
13,2025-04-27 12:05:13,853.05,Kathy Snyder,Rodriguez-Wilkerson,5261,Thomaston,Android,85.136.62.195,5.94,0
14,2025-04-09 15:45:52,662.66,Michael Clark,Palmer Inc,5261,Ramosbury,Web,81.179.109.25,28.29,0
15,2024-06-09 11:08:35,34.87,Anthony Byrd,"Bell, Vazquez and Green",5968,West Debra,POS,183.160.35.234,20.5,0
16,2025-03-23 17:00:31,170.8,Robyn Shelton,Williams Group,5942,Williamsbury,Android,30.4.144.19,53.28,0
17,2024-09-10 14:46:26,884.47,Barry Gilbert,Williams Group,5968,Hernandezbury,POS,17.90.113.235,53.76,0
18,2024-06-07 14:45:13,619.54,Anthony Garcia,Hamilton-Smith,7299,West Richard,Web,144.120.36.6,28.4,0
19,2025-03-10 15:10:37,52.12,Emily Ferguson,Smith-Smith,5942,Randallbury,iOS,99.218.166.141,32.26,0
20,2024-10-30 22:12:37,321.98,Scott Rivera,Williams and Sons,5942,Campbellfort,iOS,9.237.76.188,7.7,0
21,2024-11-22 17:36:17,881.14,Nicholas Burns,Molina-Booker,5411,Johnshire,Web,188.32.114.163,12.17,0
22,2025-03-10 22:19:55,327.93,Maurice Williams,Phillips PLC,5968,Davidmouth,POS,162.227.147.6,11.57,0
23,2025-04-12 10:41:58,995.66,Robert Alvarez,"Colon, Martin and Dickerson",5968,Ronaldtown,Android,171.181.252.234,47.16,0
24,2024-11-26 17:42:54,965.42,Jessica Cox,"Campbell, King and Hodges",5261,Johnport,POS,1.200.132.10,57.39,0
25,2025-01-13 04:53:39,751.94,Carol Bolton,Neal Group,5261,Reillytown,Web,40.73.98.238,15.88,0
26,2025-01-25 03:58:10,431.81,Nancy Price,Doyle PLC,5812,Deleonchester,Android,203.145.214.172,11.98,0
27,2024-05-30 08:54:14,580.73,James Day,Weeks-Robinson,5411,Wagnertown,Android,179.112.126.2,12.55,0
28,2024-06-19 17:41:36,370.4,Carmen Rivera,Bailey-Villanueva,5411,West Karen,POS,208.80.93.35,22.72,0
29,2024-10-25 01:32:39,328.32,Jesse Brown,"Koch, Casey and Best",5812,Brownburgh,POS,202.49.180.28,20.16,0
30,2025-03-29 01:08:45,211.44,Larry Robinson,"Whitaker, Norris and Nelson",5261,South Chelseychester,POS,213.85.248.200,36.28,0
31,2024-07-19 01:15:54,128.67,Timothy Garner,Wells-Brown,5812,West Luis,POS,31.33.162.15,6.01,0
32,2024-11-09 08:31:05,752.8,Nicole White,Townsend-Payne,5411,North Rachel,Web,214.64.138.25,10.2,0
33,2025-04-09 11:17:29,397.09,Robert Hoffman,Campbell-Gray,5261,Port Ann,POS,193.173.180.195,3.72,0
34,2024-09-06 01:11:32,792.22,Gregory Smith,Miller Ltd,5411,Lake Jameschester,POS,183.97.85.158,20.53,0
35,2024-09-05 13:59:44,135.55,Michael Schwartz,Davis Group,5411,East Jeffhaven,iOS,197.104.49.196,11.54,0
36,2024-06-04 02:36:23,374.9,Mark Hernandez,"Hood, Vaughn and Randolph",5812,Lake Mitchellchester,Android,108.206.143.127,48.67,0
37,2024-06-14 04:58:09,831.3,Christopher Casey,Young Ltd,5261,Williamsside,POS,153.137.215.223,57.38,0
38,2025-02-12 01:47:11,510.68,Christine Lee,Swanson PLC,5411,Abigailstad,Web,25.251.55.189,39.12,0
39,2025-01-26 00:55:29,788.39,Brian Berry,Salas PLC,5261,Rossport,iOS,120.29.58.240,20.35,0
40,2025-04-11 03:55:21,120.22,Todd Smith,Houston Group,5261,Wrightbury,POS,177.201.83.148,9.17,0
41,2024-10-15 11:37:59,941.75,Michael Brown,Martinez-Powell,7299,East Joshuaview,Android,97.180.29.247,22.48,0
42,2025-02-18 10:02:50,401.87,Kathleen Thornton,Brown PLC,5968,Sanchezshire,Android,80.136.9.182,58.15,0
43,2024-09-17 04:38:05,504.12,Kevin Kirby,"Newman, Juarez and Anderson",5411,Danielmouth,iOS,87.100.186.65,33.77,0
44,2024-08-06 12:20:56,414.48,Christopher Williams,"Johnson, Ramsey and Riggs",5968,Port Jasonmouth,Web,46.91.132.246,57.07,0
45,2024-09-09 13:39:28,714.0,Michael Glenn,Johnson-Harris,5261,Elizabethville,Android,161.67.171.12,30.06,0
46,2024-05-07 21:04:55,295.61,Anna Andrews,"Torres, Burns and Pratt",7299,Lake Angela,POS,182.235.151.64,28.53,0
47,2024-12-19 15:40:13,730.12,Tracy Armstrong,Oneal LLC,5411,Dariusside,POS,165.92.243.123,50.28,0
48,2024-09-27 15:24:10,129.24,Jason Osborn,Hunt-Mcclain,5411,Murphyview,Android,132.128.66.88,3.22,0
49,2024-11-27 05:44:32,654.95,Marcus Hines,Young Ltd,5812,Stephensview,POS,166.41.24.110,6.57,0
50,2024-05-08 10:36:12,981.72,Sonya Pitts,"Goodwin, Sheppard and Hill",5968,Lake Davidmouth,iOS,5.148.95.82,3.62,0
51,2024-05-15 04:27:37,411.19,Katrina Brown,King-Wilson,5812,Port Dylan,iOS,107.87.88.227,38.63,0
52,2025-04-25 05:16:03,103.62,Ann Martinez,Reeves-Hernandez,5942,Brookeborough,Android,197.173.124.8,49.97,0
53,2024-12-15 20:12:12,21.3,Summer Fernandez,"Foster, Hernandez and Fowler",5968,New Cheryl,POS,60.70.195.53,23.84,0
54,2024-07-24 19:38:02,84.2,Stephanie Perry,"Richardson, Hutchinson and Cummings",5942,Wilsonshire,Web,167.132.84.39,59.29,0
55,2024-12-22 13:06:36,614.21,Annette Stone,Coleman-Davis,7299,Kempport,POS,166.106.56.188,24.72,0
56,2025-03-11 03:38:35,903.76,Joyce Smith,Smith and Sons,7299,Mcconnellport,Android,1.23.222.80,24.91,0
57,2025-01-08 11:35:48,262.24,Sharon Matthews,Velasquez-Barrett,5968,North John,iOS,78.91.53.253,13.76,0
58,2024-11-08 05:32:39,321.13,Tammy Bowman,"Fields, Hanson and Willis",5411,Benjaminport,iOS,198.98.101.40,9.06,0
59,2024-09-21 07:04:33,104.17,Robert Thompson,"Johnson, Martinez and Lewis",5942,Wilsonberg,POS,113.69.153.55,4.68,0
60,2025-01-27 07:27:01,287.11,Stephanie Thompson,Bean-Huff,5968,South Jimmy,Web,192.115.63.167,22.31,0
